,Number of Cities,Optimal Route,KNN Route 1 Iteration,KNN Route 3 Iterations,KNN Route 5 Iterations,KNN Route 10 Iterations,KNN Route 25 Iterations,Random Route 10 Iterations,Random Route 100 Iterations,Optimal Time sec,KNN Time % of Optimal (1 IT),KNN Time % of Optimal (3 IT),KNN Time % of Optimal (5 IT),KNN Time % of Optimal (10 IT),KNN Time % of Optimal (25 IT),Random Route Time % of Optimal (10 IT),Random Route Time % of Optimal (100 IT),Optimal Route Distance,KNN Distance % of Optimal (1 IT),KNN Distance % of Optimal (3 IT),KNN Distance % of Optimal (5 IT),KNN Distance % of Optimal (10 IT),KNN Distance % of Optimal (25 IT),Random Route Distance % of Optimal (10 IT),Random Route Distance % of Optimal (100 IT),Cluster count after KNN step (best route) (1 IT),Cluster count after KNN step (best route) (3 IT),Cluster count after KNN step (best route) (5 IT),Cluster count after KNN step (best route) (10 IT),Cluster count after KNN step (best route) (25 IT)
0,9,"['Springfield', 'Rochester', 'Columbus', 'Wichita', 'Boise', 'Stockton', 'Tucson', 'Dallas', 'Charleston', 'Springfield']","['Springfield', 'Rochester', 'Columbus', 'Wichita', 'Boise', 'Stockton', 'Tucson', 'Dallas', 'Charleston', 'Springfield']","['Springfield', 'Rochester', 'Columbus', 'Wichita', 'Boise', 'Stockton', 'Tucson', 'Dallas', 'Charleston', 'Springfield']","['Springfield', 'Rochester', 'Columbus', 'Wichita', 'Boise', 'Stockton', 'Tucson', 'Dallas', 'Charleston', 'Springfield']","['Springfield', 'Rochester', 'Columbus', 'Wichita', 'Boise', 'Stockton', 'Tucson', 'Dallas', 'Charleston', 'Springfield']","['Springfield', 'Rochester', 'Columbus', 'Wichita', 'Boise', 'Stockton', 'Tucson', 'Dallas', 'Charleston', 'Springfield']","['Springfield', 'Charleston', 'Columbus', 'Wichita', 'Rochester', 'Dallas', 'Boise', 'Stockton', 'Tucson', 'Springfield']","['Springfield', 'Columbus', 'Charleston', 'Rochester', 'Dallas', 'Tucson', 'Stockton', 'Boise', 'Wichita', 'Springfield']",0.390636,0.045285124770886455,0.1303208101659857,0.2156918461176133,0.4335033125467186,1.1171807001914829,0.007692583376852108,0.016672810493656497,10099.0,1.0,1.0,1.0,1.0,1.0,1.46994751956,1.21021883355,2,2,2,2,2
1,9,"['Las Vegas', 'Provo', 'Kansas City', 'Chattanooga', 'Tampa', 'Philadelphia', 'Providence', 'Chicago', 'Seattle', 'Las Vegas']","['Las Vegas', 'Seattle', 'Provo', 'Chicago', 'Providence', 'Philadelphia', 'Tampa', 'Chattanooga', 'Kansas City', 'Las Vegas']","['Las Vegas', 'Seattle', 'Provo', 'Chicago', 'Providence', 'Philadelphia', 'Tampa', 'Chattanooga', 'Kansas City', 'Las Vegas']","['Las Vegas', 'Seattle', 'Provo', 'Chicago', 'Providence', 'Philadelphia', 'Tampa', 'Chattanooga', 'Kansas City', 'Las Vegas']","['Las Vegas', 'Seattle', 'Provo', 'Chicago', 'Providence', 'Philadelphia', 'Tampa', 'Chattanooga', 'Kansas City', 'Las Vegas']","['Las Vegas', 'Seattle', 'Provo', 'Chicago', 'Providence', 'Philadelphia', 'Tampa', 'Chattanooga', 'Kansas City', 'Las Vegas']","['Las Vegas', 'Philadelphia', 'Chicago', 'Providence', 'Tampa', 'Chattanooga', 'Seattle', 'Kansas City', 'Provo', 'Las Vegas']","['Las Vegas', 'Kansas City', 'Tampa', 'Chicago', 'Providence', 'Philadelphia', 'Chattanooga', 'Provo', 'Seattle', 'Las Vegas']",0.381122,0.07884614375449331,0.21551104370778906,0.36005793420479526,0.7858192389838424,1.5896537066870977,0.011825609647304537,0.026277674865266238,11151.0,1.01712850865,1.01712850865,1.01712850865,1.01712850865,1.01712850865,1.46695363645,1.14106358174,2,2,2,2,2
2,9,"['Sacramento', 'Los Angeles', 'San Diego', 'Jackson', 'Memphis', 'Nashville', 'Richmond', 'Louisville', 'Chicago', 'Sacramento']","['Sacramento', 'Los Angeles', 'San Diego', 'Jackson', 'Nashville', 'Louisville', 'Richmond', 'Chicago', 'Memphis', 'Sacramento']","['Sacramento', 'Los Angeles', 'San Diego', 'Jackson', 'Richmond', 'Chicago', 'Louisville', 'Nashville', 'Memphis', 'Sacramento']","['Sacramento', 'Los Angeles', 'San Diego', 'Memphis', 'Jackson', 'Nashville', 'Richmond', 'Louisville', 'Chicago', 'Sacramento']","['Sacramento', 'Los Angeles', 'San Diego', 'Memphis', 'Jackson', 'Nashville', 'Richmond', 'Louisville', 'Chicago', 'Sacramento']","['Sacramento', 'Los Angeles', 'San Diego', 'Memphis', 'Jackson', 'Nashville', 'Richmond', 'Louisville', 'Chicago', 'Sacramento']","['Sacramento', 'Nashville', 'Chicago', 'Richmond', 'Louisville', 'Memphis', 'Jackson', 'San Diego', 'Los Angeles', 'Sacramento']","['Sacramento', 'Los Angeles', 'San Diego', 'Jackson', 'Memphis', 'Chicago', 'Nashville', 'Louisville', 'Richmond', 'Sacramento']",0.381125,0.06223417513938997,0.15784060347654968,0.2643673335519843,0.5570429649065267,1.3841626762873076,0.010508363397835356,0.014451951459494917,8745.0,1.06941109205,1.06849628359,1.02595769011,1.02595769011,1.02595769011,1.0863350486,1.11457975986,2,2,3,3,3
3,9,"['Atlanta', 'Tampa', 'San Antonio', 'Oxnard', 'Wichita', 'Tulsa', 'Grand Rapids', 'Buffalo', 'Syracuse', 'Atlanta']","['Atlanta', 'Tampa', 'San Antonio', 'Oxnard', 'Wichita', 'Tulsa', 'Grand Rapids', 'Syracuse', 'Buffalo', 'Atlanta']","['Atlanta', 'Tampa', 'San Antonio', 'Oxnard', 'Wichita', 'Tulsa', 'Grand Rapids', 'Syracuse', 'Buffalo', 'Atlanta']","['Atlanta', 'Tampa', 'San Antonio', 'Oxnard', 'Wichita', 'Tulsa', 'Grand Rapids', 'Syracuse', 'Buffalo', 'Atlanta']","['Atlanta', 'Tampa', 'San Antonio', 'Oxnard', 'Wichita', 'Tulsa', 'Grand Rapids', 'Syracuse', 'Buffalo', 'Atlanta']","['Atlanta', 'Tampa', 'San Antonio', 'Oxnard', 'Wichita', 'Tulsa', 'Grand Rapids', 'Buffalo', 'Syracuse', 'Atlanta']","['Atlanta', 'Oxnard', 'San Antonio', 'Wichita', 'Tulsa', 'Tampa', 'Syracuse', 'Buffalo', 'Grand Rapids', 'Atlanta']","['Atlanta', 'Grand Rapids', 'San Antonio', 'Oxnard', 'Wichita', 'Tulsa', 'Buffalo', 'Syracuse', 'Tampa', 'Atlanta']",0.363095,0.05071675456836365,0.1580660708629973,0.250590065960699,0.5208581776119197,1.3990443272421815,0.00827882510086892,0.01655214200140459,9623.0,1.0072742388,1.0072742388,1.0072742388,1.0072742388,1.0,1.18268731165,1.18653226644,2,2,2,2,1
4,9,"['San Jose', 'Seattle', 'Minneapolis', 'Allentown', 'Louisville', 'Little Rock', 'Kansas City', 'Ogden', 'Los Angeles', 'San Jose']","['San Jose', 'Seattle', 'Minneapolis', 'Allentown', 'Louisville', 'Little Rock', 'Kansas City', 'Ogden', 'Los Angeles', 'San Jose']","['San Jose', 'Seattle', 'Minneapolis', 'Allentown', 'Louisville', 'Little Rock', 'Kansas City', 'Ogden', 'Los Angeles', 'San Jose']","['San Jose', 'Seattle', 'Minneapolis', 'Allentown', 'Louisville', 'Little Rock', 'Kansas City', 'Ogden', 'Los Angeles', 'San Jose']","['San Jose', 'Seattle', 'Minneapolis', 'Allentown', 'Louisville', 'Little Rock', 'Kansas City', 'Ogden', 'Los Angeles', 'San Jose']","['San Jose', 'Seattle', 'Minneapolis', 'Allentown', 'Louisville', 'Little Rock', 'Kansas City', 'Ogden', 'Los Angeles', 'San Jose']","['San Jose', 'Louisville', 'Ogden', 'Minneapolis', 'Kansas City', 'Little Rock', 'Allentown', 'Los Angeles', 'Seattle', 'San Jose']","['San Jose', 'Los Angeles', 'Ogden', 'Seattle', 'Louisville', 'Little Rock', 'Kansas City', 'Allentown', 'Minneapolis', 'San Jose']",0.560424,0.027704024096041568,0.0933079240003997,0.15764314162134382,0.30777589824846896,0.7601298302713658,0.004468045622600032,0.009828272879105818,10034.0,1.0,1.0,1.0,1.0,1.0,1.61411201913,1.25722543353,2,2,2,2,2
5,9,"['Lakeland', 'Tucson', 'Wichita', 'Minneapolis', 'Dayton', 'Buffalo', 'New York', 'Philadelphia', 'Richmond', 'Lakeland']","['Lakeland', 'Tucson', 'Wichita', 'Minneapolis', 'Dayton', 'Buffalo', 'Philadelphia', 'New York', 'Richmond', 'Lakeland']","['Lakeland', 'Tucson', 'Wichita', 'Minneapolis', 'Dayton', 'Buffalo', 'New York', 'Philadelphia', 'Richmond', 'Lakeland']","['Lakeland', 'Tucson', 'Wichita', 'Minneapolis', 'Dayton', 'Buffalo', 'New York', 'Philadelphia', 'Richmond', 'Lakeland']","['Lakeland', 'Tucson', 'Wichita', 'Minneapolis', 'Dayton', 'Buffalo', 'New York', 'Philadelphia', 'Richmond', 'Lakeland']","['Lakeland', 'Tucson', 'Wichita', 'Minneapolis', 'Dayton', 'Buffalo', 'New York', 'Philadelphia', 'Richmond', 'Lakeland']","['Lakeland', 'Dayton', 'Minneapolis', 'Tucson', 'Wichita', 'Buffalo', 'New York', 'Richmond', 'Philadelphia', 'Lakeland']","['Lakeland', 'Tucson', 'Wichita', 'Minneapolis', 'Dayton', 'Buffalo', 'Richmond', 'New York', 'Philadelphia', 'Lakeland']",0.379622,0.032708852490108575,0.11406346312911265,0.1920542012844356,0.4368635115983795,1.0633393217463687,0.00791840304302701,0.015826269288924246,8672.0,1.00980166052,1.0,1.0,1.0,1.0,1.17089483395,1.07414667897,1,1,1,1,1
6,9,"['Jacksonville', 'Knoxville', 'Louisville', 'Tulsa', 'Colorado Springs', 'Detroit', 'Rochester', 'Harrisburg', 'Charlotte', 'Jacksonville']","['Jacksonville', 'Knoxville', 'Charlotte', 'Harrisburg', 'Rochester', 'Detroit', 'Louisville', 'Tulsa', 'Colorado Springs', 'Jacksonville']","['Jacksonville', 'Tulsa', 'Colorado Springs', 'Louisville', 'Detroit', 'Rochester', 'Harrisburg', 'Charlotte', 'Knoxville', 'Jacksonville']","['Jacksonville', 'Tulsa', 'Colorado Springs', 'Louisville', 'Detroit', 'Rochester', 'Harrisburg', 'Charlotte', 'Knoxville', 'Jacksonville']","['Jacksonville', 'Tulsa', 'Colorado Springs', 'Louisville', 'Detroit', 'Rochester', 'Harrisburg', 'Charlotte', 'Knoxville', 'Jacksonville']","['Jacksonville', 'Tulsa', 'Colorado Springs', 'Louisville', 'Detroit', 'Rochester', 'Harrisburg', 'Charlotte', 'Knoxville', 'Jacksonville']","['Jacksonville', 'Charlotte', 'Tulsa', 'Colorado Springs', 'Louisville', 'Detroit', 'Rochester', 'Knoxville', 'Harrisburg', 'Jacksonville']","['Jacksonville', 'Charlotte', 'Harrisburg', 'Rochester', 'Colorado Springs', 'Tulsa', 'Knoxville', 'Louisville', 'Detroit', 'Jacksonville']",0.380124,0.04378834275131273,0.13309867306457893,0.2340630952005135,0.4660584440866664,1.2112021340404708,0.006584693415832728,0.01580010733339647,6589.0,1.05979663075,1.04355744423,1.04355744423,1.04355744423,1.04355744423,1.26756715738,1.20382455608,2,2,2,2,2
7,9,"['Oxnard', 'Kansas City', 'Minneapolis', 'Chicago', 'Pittsburgh', 'Springfield', 'Knoxville', 'McAllen', 'San Antonio', 'Oxnard']","['Oxnard', 'Kansas City', 'Minneapolis', 'Chicago', 'Springfield', 'Pittsburgh', 'Knoxville', 'McAllen', 'San Antonio', 'Oxnard']","['Oxnard', 'Kansas City', 'Minneapolis', 'Chicago', 'Springfield', 'Pittsburgh', 'Knoxville', 'McAllen', 'San Antonio', 'Oxnard']","['Oxnard', 'Kansas City', 'Minneapolis', 'Chicago', 'Springfield', 'Pittsburgh', 'Knoxville', 'McAllen', 'San Antonio', 'Oxnard']","['Oxnard', 'Kansas City', 'Minneapolis', 'Chicago', 'Springfield', 'Pittsburgh', 'Knoxville', 'McAllen', 'San Antonio', 'Oxnard']","['Oxnard', 'Kansas City', 'Minneapolis', 'Chicago', 'Springfield', 'Pittsburgh', 'Knoxville', 'McAllen', 'San Antonio', 'Oxnard']","['Oxnard', 'San Antonio', 'McAllen', 'Kansas City', 'Minneapolis', 'Knoxville', 'Springfield', 'Pittsburgh', 'Chicago', 'Oxnard']","['Oxnard', 'Pittsburgh', 'Springfield', 'Knoxville', 'Minneapolis', 'Chicago', 'Kansas City', 'San Antonio', 'McAllen', 'Oxnard']",0.396149,0.03723598948880346,0.11430547596990023,0.201247510406438,0.4432751313268492,1.0638497131129956,0.006320854022097747,0.015171059374124383,10180.0,1.00333988212,1.00333988212,1.00333988212,1.00333988212,1.00333988212,1.10039292731,1.1431237721,1,1,1,1,1
8,9,"['Durham', 'Winston-Salem', 'Sarasota', 'Las Vegas', 'Denver', 'Columbus', 'Detroit', 'Syracuse', 'Philadelphia', 'Durham']","['Durham', 'Sarasota', 'Las Vegas', 'Denver', 'Detroit', 'Columbus', 'Winston-Salem', 'Syracuse', 'Philadelphia', 'Durham']","['Durham', 'Winston-Salem', 'Sarasota', 'Las Vegas', 'Denver', 'Detroit', 'Columbus', 'Syracuse', 'Philadelphia', 'Durham']","['Durham', 'Winston-Salem', 'Sarasota', 'Las Vegas', 'Denver', 'Columbus', 'Detroit', 'Syracuse', 'Philadelphia', 'Durham']","['Durham', 'Winston-Salem', 'Sarasota', 'Las Vegas', 'Denver', 'Columbus', 'Detroit', 'Syracuse', 'Philadelphia', 'Durham']","['Durham', 'Winston-Salem', 'Sarasota', 'Las Vegas', 'Denver', 'Columbus', 'Detroit', 'Syracuse', 'Philadelphia', 'Durham']","['Durham', 'Philadelphia', 'Syracuse', 'Sarasota', 'Denver', 'Las Vegas', 'Columbus', 'Detroit', 'Winston-Salem', 'Durham']","['Durham', 'Winston-Salem', 'Columbus', 'Sarasota', 'Las Vegas', 'Denver', 'Detroit', 'Syracuse', 'Philadelphia', 'Durham']",0.368603,0.033390938218082866,0.11491496271055851,0.20594514965966096,0.42334164399096047,1.1449554127340256,0.008152402449247564,0.014945618999302772,8967.0,1.06925393108,1.00903312145,1.0,1.0,1.0,1.13638898182,1.06512769042,1,1,1,1,1
9,9,"['Cleveland', 'Providence', 'Raleigh', 'Charlotte', 'Miami', 'Tulsa', 'Spokane', 'Minneapolis', 'Indianapolis', 'Cleveland']","['Cleveland', 'Minneapolis', 'Spokane', 'Tulsa', 'Indianapolis', 'Charlotte', 'Miami', 'Raleigh', 'Providence', 'Cleveland']","['Cleveland', 'Providence', 'Raleigh', 'Charlotte', 'Miami', 'Tulsa', 'Spokane', 'Minneapolis', 'Indianapolis', 'Cleveland']","['Cleveland', 'Providence', 'Raleigh', 'Charlotte', 'Miami', 'Tulsa', 'Spokane', 'Minneapolis', 'Indianapolis', 'Cleveland']","['Cleveland', 'Providence', 'Raleigh', 'Charlotte', 'Miami', 'Tulsa', 'Spokane', 'Minneapolis', 'Indianapolis', 'Cleveland']","['Cleveland', 'Providence', 'Raleigh', 'Charlotte', 'Miami', 'Tulsa', 'Spokane', 'Minneapolis', 'Indianapolis', 'Cleveland']","['Cleveland', 'Charlotte', 'Raleigh', 'Providence', 'Miami', 'Minneapolis', 'Spokane', 'Tulsa', 'Indianapolis', 'Cleveland']","['Cleveland', 'Providence', 'Miami', 'Raleigh', 'Charlotte', 'Minneapolis', 'Spokane', 'Tulsa', 'Indianapolis', 'Cleveland']",0.361092,0.05307511659078573,0.1539801491032756,0.2769737352253719,0.5253785738814485,1.2174930488628937,0.00693452084233381,0.01664118839520122,10275.0,1.03445255474,1.0,1.0,1.0,1.0,1.13946472019,1.08,2,1,1,1,1
10,9,"['Kansas City', 'Oklahoma City', 'Albuquerque', 'Austin', 'Atlanta', 'Durham', 'New York', 'Grand Rapids', 'Omaha', 'Kansas City']","['Kansas City', 'Omaha', 'Oklahoma City', 'Albuquerque', 'Austin', 'Atlanta', 'Durham', 'New York', 'Grand Rapids', 'Kansas City']","['Kansas City', 'Omaha', 'Oklahoma City', 'Albuquerque', 'Austin', 'Atlanta', 'Durham', 'New York', 'Grand Rapids', 'Kansas City']","['Kansas City', 'Oklahoma City', 'Albuquerque', 'Austin', 'Atlanta', 'Durham', 'New York', 'Grand Rapids', 'Omaha', 'Kansas City']","['Kansas City', 'Oklahoma City', 'Albuquerque', 'Austin', 'Atlanta', 'Durham', 'New York', 'Grand Rapids', 'Omaha', 'Kansas City']","['Kansas City', 'Oklahoma City', 'Albuquerque', 'Austin', 'Atlanta', 'Durham', 'New York', 'Grand Rapids', 'Omaha', 'Kansas City']","['Kansas City', 'Grand Rapids', 'Omaha', 'Austin', 'Albuquerque', 'Atlanta', 'Durham', 'New York', 'Oklahoma City', 'Kansas City']","['Kansas City', 'Oklahoma City', 'Atlanta', 'Grand Rapids', 'New York', 'Durham', 'Omaha', 'Albuquerque', 'Austin', 'Kansas City']",0.370104,0.03235577026997817,0.32463847999481227,0.5411451916218144,0.9538616172751442,1.6548105397401816,0.008122041372154854,0.016241380801072132,6945.0,1.02102231821,1.02102231821,1.0,1.0,1.0,1.4037437005,1.30410367171,1,1,1,1,1
11,9,"['Louisville', 'Grand Rapids', 'Spokane', 'Portland', 'San Jose', 'Bakersfield', 'Ogden', 'Jackson', 'Melbourne', 'Louisville']","['Louisville', 'Grand Rapids', 'Spokane', 'Portland', 'San Jose', 'Bakersfield', 'Ogden', 'Jackson', 'Melbourne', 'Louisville']","['Louisville', 'Grand Rapids', 'Spokane', 'Portland', 'San Jose', 'Bakersfield', 'Ogden', 'Jackson', 'Melbourne', 'Louisville']","['Louisville', 'Grand Rapids', 'Spokane', 'Portland', 'San Jose', 'Bakersfield', 'Ogden', 'Jackson', 'Melbourne', 'Louisville']","['Louisville', 'Grand Rapids', 'Spokane', 'Portland', 'San Jose', 'Bakersfield', 'Ogden', 'Jackson', 'Melbourne', 'Louisville']","['Louisville', 'Grand Rapids', 'Spokane', 'Portland', 'San Jose', 'Bakersfield', 'Ogden', 'Jackson', 'Melbourne', 'Louisville']","['Louisville', 'Bakersfield', 'San Jose', 'Spokane', 'Portland', 'Ogden', 'Melbourne', 'Grand Rapids', 'Jackson', 'Louisville']","['Louisville', 'Jackson', 'Melbourne', 'Grand Rapids', 'Ogden', 'Bakersfield', 'San Jose', 'Portland', 'Spokane', 'Louisville']",0.375114,0.038750886397201915,0.13397793737370506,0.21993047446909472,0.4387972722958887,1.1081964416150825,0.008013563876581519,0.01468620206124005,10044.0,1.0,1.0,1.0,1.0,1.0,1.27339705297,1.09926324174,2,2,2,2,2
12,9,"['Cleveland', 'Indianapolis', 'Stockton', 'Baton Rouge', 'Chattanooga', 'Columbia', 'Philadelphia', 'Hartford', 'Springfield', 'Cleveland']","['Cleveland', 'Indianapolis', 'Stockton', 'Baton Rouge', 'Chattanooga', 'Columbia', 'Hartford', 'Springfield', 'Philadelphia', 'Cleveland']","['Cleveland', 'Indianapolis', 'Stockton', 'Baton Rouge', 'Chattanooga', 'Columbia', 'Hartford', 'Springfield', 'Philadelphia', 'Cleveland']","['Cleveland', 'Indianapolis', 'Stockton', 'Baton Rouge', 'Chattanooga', 'Columbia', 'Hartford', 'Springfield', 'Philadelphia', 'Cleveland']","['Cleveland', 'Indianapolis', 'Stockton', 'Baton Rouge', 'Chattanooga', 'Columbia', 'Hartford', 'Springfield', 'Philadelphia', 'Cleveland']","['Cleveland', 'Indianapolis', 'Stockton', 'Baton Rouge', 'Chattanooga', 'Columbia', 'Hartford', 'Springfield', 'Philadelphia', 'Cleveland']","['Cleveland', 'Hartford', 'Chattanooga', 'Baton Rouge', 'Stockton', 'Columbia', 'Springfield', 'Philadelphia', 'Indianapolis', 'Cleveland']","['Cleveland', 'Indianapolis', 'Stockton', 'Baton Rouge', 'Columbia', 'Philadelphia', 'Hartford', 'Springfield', 'Chattanooga', 'Cleveland']",0.367602,0.04632183720436777,0.16484404328594512,0.25748771769468065,0.49590589822688674,1.2108122371477847,0.008174601879206315,0.01770665012703957,9512.0,1.01597981497,1.01597981497,1.01597981497,1.01597981497,1.01597981497,1.29341883936,1.14024390244,2,2,2,2,2
13,9,"['Allentown', 'Durham', 'New Orleans', 'Austin', 'Albuquerque', 'Milwaukee', 'Grand Rapids', 'Boston', 'Worcester', 'Allentown']","['Allentown', 'Durham', 'New Orleans', 'Austin', 'Albuquerque', 'Milwaukee', 'Grand Rapids', 'Boston', 'Worcester', 'Allentown']","['Allentown', 'Durham', 'New Orleans', 'Austin', 'Albuquerque', 'Milwaukee', 'Grand Rapids', 'Boston', 'Worcester', 'Allentown']","['Allentown', 'Durham', 'New Orleans', 'Austin', 'Albuquerque', 'Milwaukee', 'Grand Rapids', 'Boston', 'Worcester', 'Allentown']","['Allentown', 'Durham', 'New Orleans', 'Austin', 'Albuquerque', 'Milwaukee', 'Grand Rapids', 'Boston', 'Worcester', 'Allentown']","['Allentown', 'Durham', 'New Orleans', 'Austin', 'Albuquerque', 'Milwaukee', 'Grand Rapids', 'Boston', 'Worcester', 'Allentown']","['Allentown', 'Boston', 'Worcester', 'New Orleans', 'Grand Rapids', 'Albuquerque', 'Milwaukee', 'Austin', 'Durham', 'Allentown']","['Allentown', 'Milwaukee', 'Grand Rapids', 'Albuquerque', 'New Orleans', 'Austin', 'Durham', 'Boston', 'Worcester', 'Allentown']",0.371108,0.04859232352846072,0.13554005841965144,0.21246375718119798,0.4503891050583659,1.180993134074178,0.008097373271392694,0.018892074544337497,7154.0,1.0,1.0,1.0,1.0,1.0,1.68283477775,1.245317305,1,1,1,1,1
14,9,"['San Bernardino', 'Dallas', 'Jackson', 'Greensboro', 'Richmond', 'Baltimore', 'Philadelphia', 'Indianapolis', 'San Francisco', 'San Bernardino']","['San Bernardino', 'Dallas', 'Jackson', 'Greensboro', 'Richmond', 'Baltimore', 'Philadelphia', 'Indianapolis', 'San Francisco', 'San Bernardino']","['San Bernardino', 'Dallas', 'Jackson', 'Greensboro', 'Richmond', 'Baltimore', 'Philadelphia', 'Indianapolis', 'San Francisco', 'San Bernardino']","['San Bernardino', 'Dallas', 'Jackson', 'Greensboro', 'Richmond', 'Baltimore', 'Philadelphia', 'Indianapolis', 'San Francisco', 'San Bernardino']","['San Bernardino', 'Dallas', 'Jackson', 'Greensboro', 'Richmond', 'Baltimore', 'Philadelphia', 'Indianapolis', 'San Francisco', 'San Bernardino']","['San Bernardino', 'Dallas', 'Jackson', 'Greensboro', 'Richmond', 'Baltimore', 'Philadelphia', 'Indianapolis', 'San Francisco', 'San Bernardino']","['San Bernardino', 'San Francisco', 'Indianapolis', 'Greensboro', 'Richmond', 'Dallas', 'Baltimore', 'Philadelphia', 'Jackson', 'San Bernardino']","['San Bernardino', 'San Francisco', 'Dallas', 'Jackson', 'Indianapolis', 'Richmond', 'Philadelphia', 'Baltimore', 'Greensboro', 'San Bernardino']",0.370108,0.06308969273833584,0.2009494525922163,0.3197228916964778,0.6402617614317984,1.58314870254088,0.008119251677888616,0.01488214250975391,8895.0,1.0,1.0,1.0,1.0,1.0,1.42282181001,1.0874648679,1,1,1,1,1
15,9,"['Tulsa', 'San Jose', 'Spokane', 'Cincinnati', 'Columbus', 'New Haven', 'Raleigh', 'Durham', 'Charlotte', 'Tulsa']","['Tulsa', 'Cincinnati', 'Charlotte', 'Durham', 'Raleigh', 'New Haven', 'Columbus', 'Spokane', 'San Jose', 'Tulsa']","['Tulsa', 'Cincinnati', 'Columbus', 'Charlotte', 'Durham', 'Raleigh', 'New Haven', 'Spokane', 'San Jose', 'Tulsa']","['Tulsa', 'Cincinnati', 'Columbus', 'Charlotte', 'Durham', 'Raleigh', 'New Haven', 'Spokane', 'San Jose', 'Tulsa']","['Tulsa', 'Cincinnati', 'Columbus', 'Charlotte', 'Durham', 'Raleigh', 'New Haven', 'Spokane', 'San Jose', 'Tulsa']","['Tulsa', 'Cincinnati', 'Columbus', 'Charlotte', 'Durham', 'Raleigh', 'New Haven', 'Spokane', 'San Jose', 'Tulsa']","['Tulsa', 'Raleigh', 'Cincinnati', 'Charlotte', 'New Haven', 'Columbus', 'Durham', 'Spokane', 'San Jose', 'Tulsa']","['Tulsa', 'Columbus', 'Durham', 'Raleigh', 'Charlotte', 'New Haven', 'Cincinnati', 'Spokane', 'San Jose', 'Tulsa']",0.368103,0.0466173869813612,0.13745880908332722,0.22646650529878867,0.42299573760605047,1.123468159727033,0.009521791455109032,0.019043582910218064,9734.0,1.01458804191,1.01212245737,1.01212245737,1.01212245737,1.01212245737,1.23762071091,1.05979042531,2,1,1,1,1
16,9,"['Charlotte', 'Harrisburg', 'Boston', 'Seattle', 'Los Angeles', 'Houston', 'Baton Rouge', 'Memphis', 'Columbia', 'Charlotte']","['Charlotte', 'Harrisburg', 'Boston', 'Columbia', 'Baton Rouge', 'Houston', 'Los Angeles', 'Seattle', 'Memphis', 'Charlotte']","['Charlotte', 'Harrisburg', 'Boston', 'Columbia', 'Baton Rouge', 'Houston', 'Los Angeles', 'Seattle', 'Memphis', 'Charlotte']","['Charlotte', 'Harrisburg', 'Boston', 'Columbia', 'Baton Rouge', 'Houston', 'Los Angeles', 'Seattle', 'Memphis', 'Charlotte']","['Charlotte', 'Harrisburg', 'Boston', 'Seattle', 'Los Angeles', 'Houston', 'Baton Rouge', 'Memphis', 'Columbia', 'Charlotte']","['Charlotte', 'Harrisburg', 'Boston', 'Seattle', 'Los Angeles', 'Houston', 'Baton Rouge', 'Memphis', 'Columbia', 'Charlotte']","['Charlotte', 'Harrisburg', 'Boston', 'Columbia', 'Houston', 'Seattle', 'Los Angeles', 'Baton Rouge', 'Memphis', 'Charlotte']","['Charlotte', 'Memphis', 'Baton Rouge', 'Houston', 'Seattle', 'Los Angeles', 'Columbia', 'Boston', 'Harrisburg', 'Charlotte']",0.39665,0.051362662296735154,0.1973175343501828,0.5356989789486953,0.9839278961300895,1.7183537123408543,0.0063128702886675915,0.016412454304802725,10866.0,1.06110804344,1.06110804344,1.06110804344,1.0,1.0,1.14375115038,1.12838210933,2,2,2,1,1
17,9,"['Columbus', 'Saint Louis', 'Spokane', 'Boise', 'New Orleans', 'Birmingham', 'New Haven', 'Rochester', 'Akron', 'Columbus']","['Columbus', 'Saint Louis', 'Spokane', 'Boise', 'New Orleans', 'Birmingham', 'New Haven', 'Rochester', 'Akron', 'Columbus']","['Columbus', 'Saint Louis', 'Spokane', 'Boise', 'New Orleans', 'Birmingham', 'New Haven', 'Rochester', 'Akron', 'Columbus']","['Columbus', 'Saint Louis', 'Spokane', 'Boise', 'New Orleans', 'Birmingham', 'New Haven', 'Rochester', 'Akron', 'Columbus']","['Columbus', 'Saint Louis', 'Spokane', 'Boise', 'New Orleans', 'Birmingham', 'New Haven', 'Rochester', 'Akron', 'Columbus']","['Columbus', 'Saint Louis', 'Spokane', 'Boise', 'New Orleans', 'Birmingham', 'New Haven', 'Rochester', 'Akron', 'Columbus']","['Columbus', 'New Orleans', 'Boise', 'Spokane', 'Akron', 'Saint Louis', 'Birmingham', 'Rochester', 'New Haven', 'Columbus']","['Columbus', 'New Haven', 'Rochester', 'Akron', 'Boise', 'Spokane', 'New Orleans', 'Birmingham', 'Saint Louis', 'Columbus']",0.365096,0.04252032342178496,0.147032561298946,0.24651050682560205,0.5302523171987642,1.2985488748164866,0.0068584701010145285,0.01645868483905603,9355.0,1.0,1.0,1.0,1.0,1.0,1.246606093,1.05964724746,1,1,1,1,1
